Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A fair and interpretable deep learning approach for healthcare access prediction in underserved communities,Discover Artificial Intelligence,,,,10.1007/s44163-025-00425-3,Akash SaxenaSaurabh SharmaPunit Kumar JohariAnkur PandeySunil Kumar,2025,https://link.springer.com/article/10.1007/s44163-025-00425-3,Article
Enhancing declarative business process management availability through generative AI,Process Science,,,,10.1007/s44311-025-00029-1,Wesley da Silva SantosJuliana Rezende CoutinhoFernanda BaiãoGeorges Miranda SpyridesHélio Côrtes Vieira Lopes,2025,https://link.springer.com/article/10.1007/s44311-025-00029-1,Article
Edge-AI integrated secure wireless IoT architecture for real time healthcare monitoring and federated anomaly detection,Scientific Reports,,,,10.1038/s41598-025-30150-x,M. PrabhaS. NandhiniM. DayanidhyR. Pradeep,2025,https://link.springer.com/article/10.1038/s41598-025-30150-x,Article
Intelligent information management enables quality-by-design in pharmaceutical production,Scientific Reports,,,,10.1038/s41598-025-27879-w,Zihan Zhu,2025,https://link.springer.com/article/10.1038/s41598-025-27879-w,Article
LLM-Enhanced Dynamic Spectrum Management for Integrated Non-Terrestrial and Terrestrial Networks: A Multi-Objective Optimization Approach,Mobile Networks and Applications,,,,10.1007/s11036-026-02490-z,Hafiz Muhammad Ali ZeeshanAizaz AhmadSyed Ali HassanMuhammad Sohaib Jamal SolaijaSajjad Hussain Chauhdary,2025,https://link.springer.com/article/10.1007/s11036-026-02490-z,Article
Toward a socially fair data equilibration approach for responsible federated learning,Knowledge and Information Systems,,,,10.1007/s10115-025-02590-4,Jaya PathakJagat Sesh ChallaAmitesh Singh Rajput,2025,https://link.springer.com/article/10.1007/s10115-025-02590-4,Article
FairSYN-Edu a diffusion-based model for fair and private educational data synthesis,Discover Education,,,,10.1007/s44217-025-00743-9,Kadir Kesgin,2025,https://link.springer.com/article/10.1007/s44217-025-00743-9,Article
"Integrating Geographic Information System, Artificial Intelligence, and Multi-Criteria Decision Analysis: A Comprehensive Review for Sustainable Urban Settlement Planning",Applied Spatial Analysis and Policy,,,,10.1007/s12061-025-09762-3,S. K. Ray,2025,https://link.springer.com/article/10.1007/s12061-025-09762-3,Article
A metaheuristic-driven framework for sustainable material selection in energy-conscious infrastructure projects,Asian Journal of Civil Engineering,,,,10.1007/s42107-025-01495-5,A‘sem  Mahmmud El AmairehRawan Sakher AlZoubi,2025,https://link.springer.com/article/10.1007/s42107-025-01495-5,Article
Comparing data reduction strategies for energy-efficient green recommender systems,Journal of Intelligent Information Systems,,,,10.1007/s10844-025-00965-1,Giuseppe SpilloAllegra De FilippoCataldo MustoMichela MilanoGiovanni Semeraro,2025,https://link.springer.com/article/10.1007/s10844-025-00965-1,Article
Life cycle assessment of 3D-printed building materials towards sustainability-driven optimization and environmental impact analysis using computational intelligence techniques,The International Journal of Life Cycle Assessment,,,,10.1007/s11367-025-02530-y,Rajesh M. BhagatPrashant B. PandeKamlesh V. MadurwarJayant M. RautVikrant S. Vairagade,2025,https://link.springer.com/article/10.1007/s11367-025-02530-y,Article
Multi-Class Bias Mitigation Methods for Classification Without Discrimination,SN Computer Science,,,,10.1007/s42979-025-04420-4,Arthur QuadrosSarah MagalhãesDauberson MolJéssica LimaAlessandro VieiraWladmir Brandão,2025,https://link.springer.com/article/10.1007/s42979-025-04420-4,Article
M-estimation activation functions for high-performance extreme learning machine ensemble classification,Scientific Reports,,,,10.1038/s41598-025-16798-5,Fathi AlimiAdnan KhanHameed AliMohamed BouzidiAbdulrahman Obaid AlshammariBakhtiyar Ahmad,2025,https://link.springer.com/article/10.1038/s41598-025-16798-5,Article
Optimizing solar farm interconnection networks using graph theory and metaheuristic algorithms with economic and reliability analysis,Scientific Reports,,,,10.1038/s41598-025-18108-5,Ali Ghias-NodoushanAlireza Sedighi-AnarakiMohammad Rasoul JannesarHamid Saeedi-Sourck,2025,https://link.springer.com/article/10.1038/s41598-025-18108-5,Article
Scaling Smart Cities with Federated Learning,Business & Information Systems Engineering,,,,10.1007/s12599-025-00957-z,Joaquín Delgado FernándezLukas WillburgerChristian WietheSimon WenningerGilbert Fridgen,2025,https://link.springer.com/article/10.1007/s12599-025-00957-z,Article
Mathematical bounds on differential privacy in heterogeneous federated IoT environments,The Journal of Supercomputing,,,,10.1007/s11227-025-08097-7,Waseem AbbassNasim AbbasUzma Majeed,2025,https://link.springer.com/article/10.1007/s11227-025-08097-7,Article
A multi objective optimization framework for smart parking using digital twin pareto front MDP and PSO for smart cities,Scientific Reports,,,,10.1038/s41598-025-91565-0,Dinesh SahuPriyanshu SinhaShiv PrakashTiansheng YangRajkumar Singh RathoreLu Wang,2025,https://link.springer.com/article/10.1038/s41598-025-91565-0,Article
Mobile Relay Selection Strategies in Cooperative D2D Communication: A Comprehensive Survey,Wireless Personal Communications,,,,10.1007/s11277-025-11864-7,Majd Mahmoud ThyabMohd Nazri MahmudTarik Adnan AlmohamadMohd Fadzli Mohd Salleh,2025,https://link.springer.com/article/10.1007/s11277-025-11864-7,Article
Research on privacy protection and performance optimization of 6G communication network based on the fusion of federated learning and edge computing,Discover Artificial Intelligence,,,,10.1007/s44163-025-00687-x,Haifeng Zhao,2025,https://link.springer.com/article/10.1007/s44163-025-00687-x,Article
Differential privacy-enabled federated learning for secure neural synchronization in protecting industrial data streams,Cluster Computing,,,,10.1007/s10586-025-05609-1,Feifei NiuArindam SarkarSarbajit MannaSoumya ChatterjeeAbdulfattah NoorwaliKamal M. Othman,2025,https://link.springer.com/article/10.1007/s10586-025-05609-1,Article
"Semantic-aware, graph-based, event-triggered federated transfer-learning multi-agent reinforcement learning (SAGE-Fed TL-MARL) for congestion control in VANETs",Discover Applied Sciences,,,,10.1007/s42452-025-08136-1,Prashanta Kumar PatraSantosh Kumar Maharana,2025,https://link.springer.com/article/10.1007/s42452-025-08136-1,Article
Precision irrigation framework could enhance water productivity and reduce carbon emissions in China,Communications Earth & Environment,,,,10.1038/s43247-025-03137-9,Haiyan LiMo LiYijia WangQiang FuVijay P. SinghYue QinYuelei LiXianghui XuZhonglili Zhang,2025,https://link.springer.com/article/10.1038/s43247-025-03137-9,Article
Recent advances in plant disease detection: challenges and opportunities,Plant Methods,,,,10.1186/s13007-025-01450-0,Muhammad ShafayTaimur HassanMuhammad OwaisIrfan HussainSajid Gul KhawajaLakmal SeneviratneNaoufel Werghi,2025,https://link.springer.com/article/10.1186/s13007-025-01450-0,Article
Role of emerging technologies for empowering resilience and transparency in supply chains,Annals of Operations Research,,,,10.1007/s10479-025-06741-2,Yigit KazancogluSachin Kumar ManglaSunil LuthraMamta Rani Agarwal,2025,https://link.springer.com/article/10.1007/s10479-025-06741-2,Article
Algorithmic discrimination in the credit domain: what do we know about it?,AI & SOCIETY,,,,10.1007/s00146-023-01676-3,Ana Cristina Bicharra GarciaMarcio Gomes Pinto GarciaRoberto Rigobon,2023,https://link.springer.com/article/10.1007/s00146-023-01676-3,Article
Proposal of a new efficient method for pareto front capture in multiobjective mechanical design: the case of a computer numerical control milling machine,Operational Research,,,,10.1007/s12351-025-00953-x,Aslain Brisco Ngnassi Djami,2025,https://link.springer.com/article/10.1007/s12351-025-00953-x,Article
Multi-project scheduling optimization with artificial intelligence: a novel metaheuristic framework,Cluster Computing,,,,10.1007/s10586-025-05834-8,Pham Vu Hong SonLuu Ngoc Quynh KhoiLuu Xuan Loc,2025,https://link.springer.com/article/10.1007/s10586-025-05834-8,Article
<i>Fair</i><i>SwiRL</i>: fair semi-supervised classification with representation learning,Machine Learning,,,,10.1007/s10994-023-06342-9,Shuyi YangMattia CerratoDino IencoRuggero G. PensaRoberto Esposito,2023,https://link.springer.com/article/10.1007/s10994-023-06342-9,Article
"Optimizing patient flow logistics: strategic challenges, tactical solutions, and future directions",BMC Health Services Research,,,,10.1186/s12913-025-13516-9,Hamed ZamaniFereshteh ParvareshMehdi Nasr Isfahani,2025,https://link.springer.com/article/10.1186/s12913-025-13516-9,Article
A hybrid Stackelberg–Markov framework for adaptive load scheduling and dynamic pricing in smart grids,Energy Informatics,,,,10.1186/s42162-025-00614-5,Syed Ashraf AliSohail Imran SaeedJehanzeb KhanShujaat AliDilawar ShahMuhammad Tahir,2025,https://link.springer.com/article/10.1186/s42162-025-00614-5,Article
S2GA-VM: self-supervised and global-aware virtual metrology for accurate film thickness prediction in semiconductor manufacturing,Journal of Intelligent Manufacturing,,,,10.1007/s10845-025-02683-5,Weiping XieJiangchen WuYuping WangYining Chen,2025,https://link.springer.com/article/10.1007/s10845-025-02683-5,Article
Real-time anomaly detection in IoT streams through spatiotemporal patterns,Discover Internet of Things,,,,10.1007/s43926-025-00256-9,Yazeed AlZahrani,2025,https://link.springer.com/article/10.1007/s43926-025-00256-9,Article
"Ensuring privacy in face recognition: a survey on data generation, inference and storage",Discover Applied Sciences,,,,10.1007/s42452-025-06987-2,Zhifang SunZhe Liu,2025,https://link.springer.com/article/10.1007/s42452-025-06987-2,Article
YOMO TF based edge cloud collaborative surveillance framework for tobacco warehouse safety management,Scientific Reports,,,,10.1038/s41598-025-26011-2,Tianhe SongHao TianXinghua QinLingrui LvWenjuan Zhou,2025,https://link.springer.com/article/10.1038/s41598-025-26011-2,Article
Formalising trade-offs beyond algorithmic fairness: lessons from ethical philosophy and welfare economics,AI and Ethics,,,,10.1007/s43681-021-00067-y,Michelle Seng Ah LeeLuciano FloridiJatinder Singh,2021,https://link.springer.com/article/10.1007/s43681-021-00067-y,Article
Robust Tweets Classification Using Arithmetic Optimization with Deep Learning for Sustainable Urban Living,SN Computer Science,,,,10.1007/s42979-024-02899-x,Manar Ahmed HamzaAisha Hassan Abdalla HashimAbdelwahed MotwakelElmouez Samir Abd ElhameedMohammed OsmanArun KumarChinu SinglaMuskaan Munjal,2024,https://link.springer.com/article/10.1007/s42979-024-02899-x,Article
A novel hybrid feature selection method combining binary grey wolf optimization and cuckoo search,Scientific Reports,,,,10.1038/s41598-025-29018-x,Xiangling LiuHongwei Tian,2025,https://link.springer.com/article/10.1038/s41598-025-29018-x,Article
ATLAS: adaptive threat-learning algorithm for secure container migration in heterogeneous multi-cloud environments,Cluster Computing,,,,10.1007/s10586-025-05720-3,Seyed Hossein AhmadpanahMeghdad MirabiAmir SahafiSeyed Hossein Erfani,2025,https://link.springer.com/article/10.1007/s10586-025-05720-3,Article
A digital twin model for grain enterprise financial shared service centers based on distributed deep learning and neural symbolic reasoning,Scientific Reports,,,,10.1038/s41598-025-24350-8,Yanxiao Wei,2025,https://link.springer.com/article/10.1038/s41598-025-24350-8,Article
Modeling and simulation of dual-battery FANET system using MADRL for energy optimization,Scientific Reports,,,,10.1038/s41598-025-30429-z,A. Sophia MaryT. S. Pradeep Kumar,2025,https://link.springer.com/article/10.1038/s41598-025-30429-z,Article
Industry 5.0 paradigm transformation adoption in developing countries: an analytical game theoretic model,Scientific Reports,,,,10.1038/s41598-025-16089-z,Hamed Fazlollahtabar,2025,https://link.springer.com/article/10.1038/s41598-025-16089-z,Article
FL-MalDrift: a federated learning framework for malware detection under local concept drift,Scientific Reports,,,,10.1038/s41598-025-31592-z,Amit PatelDeepak Singh TomarR. K. PateriyaRahul Haripriya,2025,https://link.springer.com/article/10.1038/s41598-025-31592-z,Article
Multi-objective emergency allocation of snowmelt agents for urban roads under snow and ice disasters: a case study of Weihai City,Scientific Reports,,,,10.1038/s41598-025-23256-9,Fuyou TanHaiyan WangZiwei CaiYang Li,2025,https://link.springer.com/article/10.1038/s41598-025-23256-9,Article
ResMFuse-Net: Residual-based multilevel fused network with spatial–temporal features for hand hygiene monitoring,Applied Intelligence,,,,10.1007/s10489-024-05305-4,Sohaib AsifXinyi XuMing ZhaoXuehan ChenFengxiao TangYusen Zhu,2024,https://link.springer.com/article/10.1007/s10489-024-05305-4,Article
H-SGE: A hybrid model based on scene graph enrichment for automated Handgun detection in security surveillance,"Signal, Image and Video Processing",,,,10.1007/s11760-025-04926-7,Nasreen JawaidNajma Imtiaz AliImtiaz Ali KorejoImtiaz Ali BrohiNor Hafeizah Hassan,2025,https://link.springer.com/article/10.1007/s11760-025-04926-7,Article
"Quantitative Optimization Models in Supply Chains: Taxonomy, Trends and Analysis",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10252-5,Hrishikesh ChoudharyL. N. Pattanaik,2025,https://link.springer.com/article/10.1007/s11831-025-10252-5,Article
Adaptive dynamic hypergraph learning for ingredient aware food recommendation,Scientific Reports,,,,10.1038/s41598-025-30496-2,Yazeed AlkhrijahAbbas N. TalibNarinderjit Singh Sawaran SinghAshraf Abed Hussein,2025,https://link.springer.com/article/10.1038/s41598-025-30496-2,Article
AI auditing and impact assessment: according to the UK information commissioner’s office,AI and Ethics,,,,10.1007/s43681-021-00039-2,Emre KazimDanielle Mendes Thame DennyAdriano Koshiyama,2021,https://link.springer.com/article/10.1007/s43681-021-00039-2,Article
Communication overhead reduction in federated learning: a review,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00691-x,Goran Saman NarimanHozan Khalid Hamarashid,2024,https://link.springer.com/article/10.1007/s41060-024-00691-x,Article
Multi-Objective Decision Method for Airport Landside Rapid Transit Network Design,Networks and Spatial Economics,,,,10.1007/s11067-022-09571-y,Danwen BaoShijia TianRui LiTianxuan ZhangTing Zhu,2022,https://link.springer.com/article/10.1007/s11067-022-09571-y,Article
Changing criteria weights to achieve fair VIKOR ranking: a postprocessing reranking approach,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-022-09591-5,Zorica DodevskaAndrija PetrovićSandro RadovanovićBoris Delibašić,2022,https://link.springer.com/article/10.1007/s10458-022-09591-5,Article
Teaching and learning optimization method for multi-channel wireless mesh networks with MIMO links,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-025-05004-z,P. Ranjith kumarS. ManikandanR. RenugadeviP. Packiya LakshmiR. Rajesh Kanna,2025,https://link.springer.com/article/10.1007/s12652-025-05004-z,Article
White Shark Optimizer and its Applications: A Systematic Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10469-4,Mohammed A. AwadallahMalik BraikLeen AlAkhrasSofian KassaymehMohammed Azmi Al-Betar,2025,https://link.springer.com/article/10.1007/s11831-025-10469-4,Article
Time-cost-quality-environment trade-off problem: the crossover &amp; mutation giant pacific octopus optimizer,Asian Journal of Civil Engineering,,,,10.1007/s42107-025-01366-z,Pham Vu Hong SonLuu Ngoc Quynh Khoi,2025,https://link.springer.com/article/10.1007/s42107-025-01366-z,Article
An ontology-based approach to engineering ethicality requirements,Software and Systems Modeling,,,,10.1007/s10270-023-01115-3,Renata GuizzardiGlenda AmaralGiancarlo GuizzardiJohn Mylopoulos,2023,https://link.springer.com/article/10.1007/s10270-023-01115-3,Article
"A Review of Heterogeneity in Comparative Economic Analysis, with Specific Considerations for the Decentralized US Setting and Patient-Centered Care",PharmacoEconomics,,,,10.1007/s40273-025-01478-z,Michael S. WillisAndreas NilssonCheryl A. Neslusan,2025,https://link.springer.com/article/10.1007/s40273-025-01478-z,Article
"Exploring blockchain-based open finance: The role of advanced cryptographic tools, state-of-the-art achievements, and background challenges",Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-01979-w,Saeed Banaeian FarMohammad Reza Chalak QazaniAzadeh Imani Rad,2025,https://link.springer.com/article/10.1007/s12083-025-01979-w,Article
Service Placement in the Computing Continuum for Delay-Sensitive IoT/IIoT Applications,Journal of Network and Systems Management,,,,10.1007/s10922-025-09964-7,Natesha Banavase VenkategowdaLuiz Fernando Bittencourt,2025,https://link.springer.com/article/10.1007/s10922-025-09964-7,Article
Distributed reinforcement learning for heterogeneous blockchain networks: a customized multi-agent architecture for cross-chain optimization,The Journal of Supercomputing,,,,10.1007/s11227-025-08060-6,Sajjad DaliriSomayyeh Jafarali Jassbi,2025,https://link.springer.com/article/10.1007/s11227-025-08060-6,Article
Data repair optimization method for geo-distributed fault-tolerant storage systems based on whale optimization algorithm,Journal of Cloud Computing,,,,10.1186/s13677-025-00807-z,Yangwenting XuYong WangFeng JiangFei ZhouJunqi Chen,2025,https://link.springer.com/article/10.1186/s13677-025-00807-z,Article
The double-edged sword effects of perceived algorithmic control on platform workers’ service performance,Humanities and Social Sciences Communications,,,,10.1057/s41599-024-02812-0,Jian ZhuBin ZhangHui Wang,2024,https://link.springer.com/article/10.1057/s41599-024-02812-0,Article
Secure and adaptive authentication in fog-assisted smart homes using personalized federated learning,The Journal of Supercomputing,,,,10.1007/s11227-025-08055-3,Waseem AbbassNasim AbbasMuhammad Awais JavedAbdul Khader Jilani Saudagar,2025,https://link.springer.com/article/10.1007/s11227-025-08055-3,Article
Algorithmic Fairness in Mortgage Lending: from Absolute Conditions to Relational Trade-offs,Minds and Machines,,,,10.1007/s11023-020-09529-4,Michelle Seng Ah LeeLuciano Floridi,2020,https://link.springer.com/article/10.1007/s11023-020-09529-4,Article
Explainable software systems: from requirements analysis to system evaluation,Requirements Engineering,,,,10.1007/s00766-022-00393-5,Larissa ChazetteWasja BrunotteTimo Speith,2022,https://link.springer.com/article/10.1007/s00766-022-00393-5,Article
gCFS: completely fair scheduling on multiple GPUs for improved multi-DNN execution in terms of performance isolation,The Journal of Supercomputing,,,,10.1007/s11227-022-04901-w,Hojin ChoMyungsun Kim,2022,https://link.springer.com/article/10.1007/s11227-022-04901-w,Article
Multi-objective Ant Colony Optimization: Review,Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10178-4,Mohammed A. AwadallahSharif Naser MakhadmehMohammed Azmi Al-BetarLamees Mohammad DalbahAneesa Al-RedhaeiShaimaa KoukaOussama S. Enshassi,2024,https://link.springer.com/article/10.1007/s11831-024-10178-4,Article
Quantum-classical deep learning hybrid architecture with graphene-printed low-cost capacitive sensor for essential tremor detection,Scientific Reports,,,,10.1038/s41598-025-06359-1,Javier Villalba-DíezAna González-Marcos,2025,https://link.springer.com/article/10.1038/s41598-025-06359-1,Article
City 5.0: Citizen involvement in the design of future cities,Electronic Markets,,,,10.1007/s12525-023-00621-y,Jörg BeckerFriedrich ChasinMichael RosemannDaniel BeverungenJennifer PrieferJan vom BrockeMartin MatznerAdela del Rio OrtegaManuel ResinasFlavia SantoroMinseok SongKangah ParkClaudio Di Ciccio,2023,https://link.springer.com/article/10.1007/s12525-023-00621-y,Article
Fuzzy MCDM-Based Selection of 3D Printed Lattice Architectures for Underbody Blast Protection in Armored Vehicles,Journal of Materials Engineering and Performance,,,,10.1007/s11665-025-12708-y,Siva Bhaskar AkulaChandrasekhara Sastry CSatya Meher RS. SuryakumarA. Hafeezur RahmanN. S. Reddy,2025,https://link.springer.com/article/10.1007/s11665-025-12708-y,Article
"Economic losses and damages in aquaculture production caused by extreme weather events: an empirical assessment at the household scale in Quang Ngai province, Vietnam",Journal of Environmental Studies and Sciences,,,,10.1007/s13412-024-00993-3,Pham Thi LamPham Hong TinhMeden F. Isaac-LamNguyen Thanh Dien,2024,https://link.springer.com/article/10.1007/s13412-024-00993-3,Article
Federated active meta-learning with blockchain for zero-day attack detection in industrial IoT,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02014-8,Kapil KumarManju Khari,2025,https://link.springer.com/article/10.1007/s12083-025-02014-8,Article
Distributed coordination control of multi-agent systems under intermittent sampling and communication: a comprehensive survey,Science China Information Sciences,,,,10.1007/s11432-024-4355-1,Xiaohua GeQing-Long HanXian-Ming ZhangDerui DingBoda Ning,2025,https://link.springer.com/article/10.1007/s11432-024-4355-1,Article
Optimization of territorial space layout in China,Journal of Geographical Sciences,,,,10.1007/s11442-024-2268-1,Yin DongGui JinXiangzheng Deng,2024,https://link.springer.com/article/10.1007/s11442-024-2268-1,Article
Exploiting augmented intelligence in the modeling of safety-critical autonomous systems,Formal Aspects of Computing,,,,10.1007/s00165-021-00543-6,Zhibin YangYang BaoYongqiang YangZhiqiu HuangJean-Paul BodeveixMamoun FilaliZonghua Gu,2021,https://link.springer.com/article/10.1007/s00165-021-00543-6,Article
EMM: Extended matching market based scheduling for big data platform hadoop,Multimedia Tools and Applications,,,,10.1007/s11042-021-11283-3,"Balraj SinghHarsh 
                K
 Verma",2021,https://link.springer.com/article/10.1007/s11042-021-11283-3,Article
An assessment-support model for measuring microscale public transport sustainability in Jordan: application of fuzzy AHP,Innovative Infrastructure Solutions,,,,10.1007/s41062-025-02245-x,Moawiah Alnsour,2025,https://link.springer.com/article/10.1007/s41062-025-02245-x,Article
Multi-Water Resources Optimal Allocation Based on Multi-Objective Uncertain Chance-Constrained Programming Model,Water Resources Management,,,,10.1007/s11269-020-02697-z,Xiaona LiXiaosheng WangHaiying GuoWeimin Ma,2020,https://link.springer.com/article/10.1007/s11269-020-02697-z,Article
Tornado optimizer with Coriolis force: a novel bio-inspired meta-heuristic algorithm for solving engineering problems,Artificial Intelligence Review,,,,10.1007/s10462-025-11118-9,Malik BraikHeba Al-HiaryHussein AlzoubiAbdelaziz HammouriMohammed Azmi Al-BetarMohammed A. Awadallah,2025,https://link.springer.com/article/10.1007/s10462-025-11118-9,Article
An integrated socially responsible-efficient approach toward health service network design,Annals of Operations Research,,,,10.1007/s10479-021-04066-4,Abdorrrahman HaeriSeyyed-Mahdi Hosseini-MotlaghMohammad Reza Ghatreh SamaniMarziehsadat Rezaei,2021,https://link.springer.com/article/10.1007/s10479-021-04066-4,Article
User grouping and resource allocation in multiuser MIMO systems under SWIPT,EURASIP Journal on Wireless Communications and Networking,,,,10.1186/s13638-019-1460-y,Javier RubioAntonio Pascual-Iserte,2019,https://link.springer.com/article/10.1186/s13638-019-1460-y,Article
Abstracts from the 36th Annual Meeting of the Society of General Internal Medicine,Journal of General Internal Medicine,,,,10.1007/s11606-013-2436-y,,2013,https://link.springer.com/article/10.1007/s11606-013-2436-y,Article
The socio-economics of software architecture,Automated Software Engineering,,,,10.1007/s10515-008-0029-5,Alistair Sutcliffe,2008,https://link.springer.com/article/10.1007/s10515-008-0029-5,Article
A tutorial on geometric programming,Optimization and Engineering,,,,10.1007/s11081-007-9001-7,Stephen BoydSeung-Jean KimLieven VandenbergheArash Hassibi,2007,https://link.springer.com/article/10.1007/s11081-007-9001-7,Article
Real Time Scheduling Theory: A Historical Perspective,Real-Time Systems,,,,10.1023/B:TIME.0000045315.61234.1e,Lui ShaTarek AbdelzaherKarl-Erik årzénAnton CervinTheodore BakerAlan BurnsGiorgio ButtazzoMarco CaccamoJohn LehoczkyAloysius K. Mok,2004,https://link.springer.com/article/10.1023/B:TIME.0000045315.61234.1e,Article
Practical applications of constraint programming,Constraints,,,,10.1007/BF00143881,Mark Wallace,1996,https://link.springer.com/article/10.1007/BF00143881,Article
