Study ID,Study,Citation,Year,Domain,System Type,Deployment Status,Venue Type,QA score,QA pass,ENV content,DES content,SOC content,Elicitation present,Specification present,Operationalization present,Validation/testing present,Monitoring present,Revision present,Spec explicitness/testability,Fairness notions,Failure modes,Gap summary (1 sentence)
P020,P020 - Kusner2017,Kusner2017,2017,Lending,Classification,Prototype,Conference,10,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Individual consistency, Other","Drift not addressed, Governance absent, Missing context assumptions, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides an explicit causal specification of fairness (counterfactual invariance under protected-attribute interventions) and an operational recipe to train predictors from causal-model-derived non-descendants/latent variables with demonstrated accuracy?€?fairness trade-offs, but lacks deployment-time monitoring and explicit governance for revising causal assumptions under drift or changing social context."
P021,P021 - Ensign2018,Ensign2018,2018,Policing,Decision support,Prototype,Conference,8,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,"Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a formal and empirically demonstrated explanation of why predictive policing can create runaway feedback loops and proposes a black-box input-filtering remedy, but does not specify fairness requirements as explicit acceptance thresholds nor provide monitoring/revision governance for maintaining fairness over time."
P022,P022 - GrgicHlaca2018Procedural,GrgicHlaca2018Procedural,2018,Policing,Classification,Prototype,Conference,9.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, Other","Defines and operationalizes procedurally fair learning as explicit, testable constraints over feature sets grounded in human moral judgments and optimizes fairness?€?accuracy trade-offs, but does not address deployment-time monitoring or revision processes to keep procedural fairness requirements valid over time."
P023,P023 - Udeshi2018,Udeshi2018,2018,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides an explicit, testable operationalization of individual fairness violation (discriminatory input pairs over sensitive attributes with a tunable discrimination threshold) and an automated testing-and-retraining pipeline, but does not address post-deployment monitoring or revision processes to keep fairness requirements valid over time."
P027,P027 - Binns2018,Binns2018,2018,General,Decision support,Conceptual,Conference,7.5,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit not testable,,"Drift not addressed, Missing context assumptions, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides a cross-disciplinary (political philosophy) grounding that clarifies why fairness metrics encode contested normative commitments and must be chosen contextually, but does not supply testable acceptance thresholds, validation protocols, or monitoring/revision mechanisms to maintain fairness requirements over time."
P028,P028 - Elzayn2019,Elzayn2019,2019,Policing,Decision support,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,,"Missing context assumptions, No revision process/ownership, Other","Defines explicit, testable fairness constraints for resource allocation (via discovery probability) and provides learning algorithms with finite-sample guarantees under censored feedback plus empirical evaluation on predictive policing data, but does not address stakeholder elicitation, production monitoring, or revision governance for maintaining fairness requirements over time."
P029,P029 - Hu2019,Hu2019,2019,General,Classification,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Provides an explicit, formal analysis of how unequal costs of strategic manipulation produce inequality-reinforcing errors and can make even well-intentioned interventions (subsidies) harmful, but does not provide elicitation artifacts, operational fairness acceptance thresholds, or monitoring/revision governance for maintaining fairness requirements over time."
P030,P030 - Milli2019,Milli2019,2019,Lending,Classification,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contestability/recourse, Other, Procedural fairness","Governance absent, No revision process/ownership, Other","Defines measurable constructs (social burden and social gap) showing that improving strategic robustness increases costs borne by positive individuals and can widen disparities for disadvantaged groups, but does not provide stakeholder elicitation artifacts or deployment-time monitoring/revision mechanisms to govern these requirements over time."
P031,P031 - Ustun2019,Ustun2019,2019,Healthcare,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable preference-based fairness requirements (rationality and envy-freeness) and an adaptive decoupling procedure with finite-sample guarantees and empirical validation, but does not address deployment-time monitoring, drift handling, or revision governance to keep these requirements valid over time."
P032,P032 - Cotter2019,Cotter2019,2019,General,Classification,Prototype,Journal,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides an explicit, testable constraint-based specification of fairness and other policy goals (rate constraints) plus optimization/verification procedures with theoretical guarantees and extensive experiments, but does not address post-deployment monitoring, drift handling, or revision governance to keep such constraints valid over time."
P033,P033 - Golz2019,Golz2019,2019,Lending,Decision support,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other","Drift not addressed, Governance absent, No revision process/ownership, Other","Shows that under explicit resource/cardinality constraints, equalized odds can coexist with resource monotonicity but is severely incompatible with consistency and population monotonicity (forcing near-uniform allocations and large efficiency loss), highlighting governance-relevant paradoxes yet offering no deployment-time monitoring or revision mechanisms."
P034,P034 - Passi2019,Passi2019,2019,Lending,Decision support,Deployed,Conference,9.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit not testable,"Contextual/legal compliance, Other, Procedural fairness","Governance absent, Missing context assumptions, No thresholds / acceptance criteria, Other","Shows via ethnography that fairness is strongly determined by upstream problem formulation (targets, proxies, thresholds like credit score >500) negotiated under organizational/legal constraints, but provides no formal fairness metrics, acceptance criteria, or lifecycle monitoring/revision mechanisms for maintaining fairness requirements over time."
P035,P035 - Selbst2019,Selbst2019,2019,General,Multi-task/Other,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,"Contestability/recourse, Contextual/legal compliance, Other, Procedural fairness","Drift not addressed, Governance absent, Missing context assumptions, No thresholds / acceptance criteria, Other","Argues that treating fairness as a portable, formal property of a technical subsystem creates predictable ?€?abstraction traps?€? that can invalidate fairness guarantees in real sociotechnical contexts, motivating process- and governance-oriented requirements approaches but offering no concrete metrics, monitoring, or revision procedures."
P036,P036 - Creager2019,Creager2019,2019,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides a formal, testable operationalization of multi-attribute subgroup demographic parity via flexibly fair representations and offline audits, but does not address sociotechnical governance, deployment-time monitoring, or how fairness validity is maintained under distribution shift."
P037,P037 - Zhang2019TKDE,Zhang2019TKDE,2019,General,Decision support,Prototype,Journal,8.5,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides a causal, testable specification of direct and indirect discrimination (path-specific effects with legal threshold t) and utility-preserving removal algorithms with bounds for unidentifiable cases, but does not address sociotechnical governance or how fairness requirements remain valid under deployment-time drift."
P038,P038 - Wick2019,Wick2019,2019,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria, Other","Shows that apparent fairness?€?accuracy trade-offs can disappear when evaluation accounts for label/selection bias and proposes a semi-supervised fairness-constraint method that can improve both, but does not provide deployment-time monitoring or explicit acceptance thresholds/governance for maintaining fairness requirements over time."
P039,P039 - Polyzotis2019,Polyzotis2019,2019,General,Multi-task/Other,Deployed,Conference,8,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Explicit + testable,"Other, Procedural fairness","Drift not addressed, Monitoring without triggers, No thresholds / acceptance criteria, Other","Presents a production-deployed, schema-driven data validation and model unit-testing framework (TFDV/TFX) that operationalizes continuous monitoring for anomalies, drift, and training-serving skew with actionable alerts and schema co-evolution, but it does not explicitly connect data validation to fairness/protected-group harms or define governance beyond schema ownership/versioning."
P040,P040 - Atwood2019,Atwood2019,2019,Healthcare,Multi-task/Other,Conceptual,Preprint,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Other, Outcome parity","Drift not addressed, Governance absent, No revision process/ownership, No thresholds / acceptance criteria","Defines and operationalizes outcome fairness for sequential vaccine allocation in networks (equalizing expected disease burden across individuals/communities/centrality strata) via simulation + LP-constrained policies, but provides no acceptance thresholds, monitoring signals, or revision/governance process for sustaining fairness over time."
P041,P041 - Foulds2020,Foulds2020,2020,General,Classification,Conceptual,Other,9,Pass,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Explicit not testable,"Contextual/legal compliance, Error parity, Individual consistency, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, Missing context assumptions, No revision process/ownership, Other","Provides a structured, cross-disciplinary argument and guideline checklist for when parity-based fairness metrics are appropriate, but does not operationalize end-to-end lifecycle governance (monitoring signals, triggers, ownership) or empirical acceptance criteria beyond disparate-impact style thresholds."
P042,P042 - Fu2020,Fu2020,2020,Other,Recommender,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Individual consistency, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, No revision process/ownership, Other","Provides explicit, testable group/individual fairness metrics and a constrained reranking/optimization method for KG-based explainable recommendation (active vs inactive users), validated on multiple datasets, but does not address post-deployment monitoring, drift handling, or revision governance to keep fairness requirements valid over time."
P043,P043 - DAmour2020,DAmour2020,2020,General,Decision support,Conceptual,Conference,9,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,"Contextual/legal compliance, Error parity, Other, Procedural fairness","Drift not addressed, Governance absent, Monitoring without triggers, No revision process/ownership, Other","Demonstrates via simulation that fairness properties and audits can break under feedback dynamics (e.g., per-step EO not matching aggregate TPR, discovered vs missed incident non-equivalence) and provides an extensible simulation framework, but does not specify deployment-time monitoring triggers/ownership or acceptance thresholds for operational fairness requirements."
P044,P044 - Creager2020,Creager2020,2020,General,Decision support,Conceptual,Conference,9.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit not testable,"Contextual/legal compliance, Error parity, Individual consistency, Other, Procedural fairness","Drift not addressed, Governance absent, Missing context assumptions, Monitoring without triggers, No revision process/ownership, Other","Provides a causal-SCM framework to specify and evaluate fairness interventions in dynamical systems (including off-policy estimation from observational data and simulation/sensitivity when dynamics are known), but does not define deployment-time monitoring/revision governance for keeping fairness requirements valid in production systems."
P045,P045 - Mitchell2021,Mitchell2021,2021,General,Classification,Conceptual,Journal,10,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity, Procedural fairness","Missing context assumptions, Other","Offers a comprehensive, consistent catalog of fairness definitions and the often-implicit assumptions behind prediction-based decision-making (including data/measurement and policy framing), highlighting impossibility trade-offs and urging documentation and community oversight, but does not provide an end-to-end operational method for turning these considerations into concrete, monitored fairness requirements for a deployed system."
P046,P046 - Vasudevan2020,Vasudevan2020,2020,Other,Classification,Deployed,Conference,10,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity, Procedural fairness","Missing context assumptions, Monitoring without triggers, Other, Unstable subgroup definitions","Provides an end-to-end, production-oriented framework (LiFT) for scalable fairness measurement integrated across the ML lifecycle with statistical significance testing and monitoring signals, but leaves key governance questions (who sets fairness thresholds, how to resolve conflicting metrics, and when/how to trigger mitigation or rollback) largely to organizational stakeholder processes rather than specifying concrete operational requirements."
P047,P047 - Schumann2021,Schumann2021,2021,Other,CV,Prototype,Conference,10,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Procedural fairness","Missing context assumptions, Other, Unstable subgroup definitions","Introduces MIAP, an exhaustive person-annotation subset of Open Images with perceived gender-presentation and age-range labels designed for fairness research, showing how partial annotation pipelines can encode societal norms and create systematic missing ground truth, but it does not provide deployment-time monitoring/revision governance and explicitly restricts use of these labels to fairness research rather than building gender/age classifiers."
P048,P048 - Krishnaswamy2021,Krishnaswamy2021,2021,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity","No revision process/ownership, No thresholds / acceptance criteria, Other, Unstable subgroup definitions","Proposes best-effort group fairness guarantees that compare each group?€?s performance to the best achievable on that group (PF for all subgroups, BeFair for structured subgroup classes), showing empirically improved worst-group fidelity versus ERM, but it remains largely an offline optimization/evaluation approach without operational monitoring or governance processes for maintaining guarantees over time."
P049,P049 - Agarwal2021,Agarwal2021,2021,Other,Multi-task/Other,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other, Outcome parity","Drift not addressed, No revision process/ownership, No thresholds / acceptance criteria, Other","NIFTY unifies counterfactual fairness and stability for GNN representations via augmentation-based objectives and Lipschitz-normalized message passing, demonstrating strong offline improvements on fairness and robustness metrics in high-stakes graph datasets, but it does not specify operational acceptance thresholds or monitoring/revision governance for maintaining these properties after deployment."
P050,P050 - Yeom2021,Yeom2021,2021,General,Classification,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contextual/legal compliance, Error parity, Other, Outcome parity","Missing context assumptions, No thresholds / acceptance criteria, Other","Provides a construct-and-worldview lens for selecting among fairness tests by defining disparity amplification and proving when demographic parity or equalized odds prevent it (under WAE vs WYSIWYG), while showing predictive parity and calibration can still permit amplification, but it remains a theoretical diagnostic framework without empirical case studies or operational monitoring/governance guidance for choosing worldview parameters like ?? in practice."
P051,P051 - Chen2021,Chen2021,2021,Hiring,CV,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Individual consistency, Other","Missing context assumptions, No revision process/ownership, No thresholds / acceptance criteria, Other","Shows that facial-expression datasets can encode systematic annotation bias (not just composition bias), which models learn and amplify (notably for happy/angry across gender), and proposes AUC-FER using AU-calibrated triplet loss to mitigate this without relabeling, but it does not address deployment-time monitoring/governance or how to set acceptance thresholds for discrimination in real hiring/emotion-analysis systems."
P052,P052 - Karkkainen2021,Karkkainen2021,2021,General,CV,Prototype,Conference,9,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Missing context assumptions, No revision process/ownership, No thresholds / acceptance criteria, Other","Introduces FairFace, a large in-the-wild face attribute dataset balanced across 7 race groups plus gender and age to reduce representation bias and enable more consistent subgroup accuracy and auditing of commercial APIs, but it does not provide deployment-time monitoring/governance for ongoing bias, nor does it define explicit acceptance thresholds for subgroup disparity beyond reporting metrics like ?? and STD."
P053,P053 - Zhao2023,Zhao2023,2023,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, No thresholds / acceptance criteria, Other","Defines and operationalizes procedure-oriented fairness via explanation-quality gap metrics (??REF/??VEF) and proposes CFA to jointly optimize utility, traditional group fairness, and explanation fairness, but it relies on design choices like top-K thresholds, fidelity and explainer selection (which may vary across domains) and does not specify deployment-time monitoring or governance for explanation fairness over time."
P054,P054 - Do2022,Do2022,2022,General,Recommender,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Contestability/recourse, Individual consistency, Other","Drift not addressed, Governance absent, Missing context assumptions, Other","Proposes a formally specified, preference-based user-side fairness audit for personalized recommenders via ??-envy-freeness and online bandit certification with conservative exploration guarantees, but it assumes stationarity and requires intrusive counterfactual exposure/randomization (raising privacy/ethics and deployment feasibility questions) and does not provide monitoring or revision governance once certified."
P055,P055 - Baker2022,Baker2022,2022,Other,Multi-task/Other,Conceptual,Journal,8.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Explicit not testable,"Contextual/legal compliance, Error parity, Individual consistency, Other, Outcome parity, Procedural fairness","Drift not addressed, Governance absent, Missing context assumptions, Other","Synthesizes how algorithmic bias manifests across the educational ML lifecycle and which student groups are impacted, and proposes equity-oriented recommendations (data collection, tooling, incentives, stakeholder inclusion), but remains largely conceptual without concrete acceptance thresholds, operational monitoring, or deployment-ready governance procedures for ongoing bias management."
P056,P056 - Pradhan2022,Pradhan2022,2022,General,Classification,Prototype,Conference,8.5,Pass,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Explicit + testable,"Error parity, Other, Outcome parity","Drift not addressed, Governance absent, Other","Provides a rigorous, testable framework and system (Gopher) for identifying training-data root causes of fairness violations via causal responsibility and pattern mining, but focuses on offline debugging interventions rather than operational monitoring, long-term governance, or stakeholder-driven acceptance thresholds."
P057,P057 - Black2022,Black2022,2022,General,Classification,Conceptual,Conference,8.5,Pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Explicit not testable,"Contestability/recourse, Contextual/legal compliance, Error parity, Other, Outcome parity","Governance absent, No thresholds / acceptance criteria, Other","Clarifies that accuracy-maximization leaves substantial freedom among equally accurate models, creating both opportunities (optimize fairness, robustness, recourse) and risks (underspecification, proxy discrimination, loss of justifiability), and proposes meta-rules and aggregation to make selection non-arbitrary, but does not provide concrete operational monitoring or standardized acceptance thresholds for deployment governance."
